name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
RCH1,-4.85943,2.25,-9.35943,-0.359427,-3.10224,0.467129,-4.0365,-2.16798
HK1,1.69897,0.575257,0.548455,2.84949,1.49312,0.483759,0.525604,2.46064
