run_id,hk1,cal_flux
139,   1.393939E-01,   1.045455E+00
140,   1.393939E-01,   1.069697E+00
141,   1.393939E-01,   1.093939E+00
142,   1.393939E-01,   1.118182E+00
143,   1.393939E-01,   1.142424E+00
144,   1.393939E-01,   1.166667E+00
145,   1.393939E-01,   1.190909E+00
146,   1.393939E-01,   1.215152E+00
147,   1.393939E-01,   1.239394E+00
148,   1.393939E-01,   1.263636E+00
149,   1.393939E-01,   1.287879E+00
150,   1.393939E-01,   1.312121E+00
151,   1.393939E-01,   1.336364E+00
152,   1.393939E-01,   1.360606E+00
153,   1.393939E-01,   1.384848E+00
154,   1.393939E-01,   1.409091E+00
155,   1.393939E-01,   1.433333E+00
156,   1.393939E-01,   1.457576E+00
157,   1.393939E-01,   1.481818E+00
158,   1.393939E-01,   1.506061E+00
159,   1.393939E-01,   1.530303E+00
160,   1.393939E-01,   1.554545E+00
161,   1.393939E-01,   1.578788E+00
162,   1.393939E-01,   1.603030E+00
163,   1.393939E-01,   1.627273E+00
164,   1.393939E-01,   1.651515E+00
165,   1.393939E-01,   1.675758E+00
166,   1.393939E-01,   1.700000E+00
167,   1.393939E-01,   1.724242E+00
168,   1.393939E-01,   1.748485E+00
169,   1.393939E-01,   1.772727E+00
170,   1.393939E-01,   1.796970E+00
171,   1.393939E-01,   1.821212E+00
172,   1.393939E-01,   1.845455E+00
173,   1.393939E-01,   1.869697E+00
174,   1.393939E-01,   1.893939E+00
175,   1.393939E-01,   1.918182E+00
176,   1.393939E-01,   1.942424E+00
177,   1.393939E-01,   1.966667E+00
178,   1.393939E-01,   1.990909E+00
179,   1.393939E-01,   2.015152E+00
180,   1.393939E-01,   2.039394E+00
181,   1.393939E-01,   2.063636E+00
182,   1.393939E-01,   2.087879E+00
183,   1.393939E-01,   2.112121E+00
184,   1.393939E-01,   2.136364E+00
185,   1.393939E-01,   2.160606E+00
186,   1.393939E-01,   2.184848E+00
187,   1.393939E-01,   2.209091E+00
188,   1.393939E-01,   2.233333E+00
189,   1.393939E-01,   2.257576E+00
190,   1.393939E-01,   2.281818E+00
191,   1.393939E-01,   2.306061E+00
192,   1.393939E-01,   2.330303E+00
193,   1.393939E-01,   2.354545E+00
194,   1.393939E-01,   2.378788E+00
195,   1.393939E-01,   2.403030E+00
196,   1.393939E-01,   2.427273E+00
197,   1.393939E-01,   2.451515E+00
198,   1.393939E-01,   2.475758E+00
199,   1.393939E-01,   2.500000E+00
200,   1.787879E-01,   1.000000E-01
201,   1.787879E-01,   1.242424E-01
202,   1.787879E-01,   1.484848E-01
203,   1.787879E-01,   1.727273E-01
204,   1.787879E-01,   1.969697E-01
205,   1.787879E-01,   2.212121E-01
206,   1.787879E-01,   2.454545E-01
207,   1.787879E-01,   2.696970E-01
208,   1.787879E-01,   2.939394E-01
209,   1.787879E-01,   3.181818E-01
210,   1.787879E-01,   3.424242E-01
211,   1.787879E-01,   3.666667E-01
212,   1.787879E-01,   3.909091E-01
213,   1.787879E-01,   4.151515E-01
214,   1.787879E-01,   4.393939E-01
215,   1.787879E-01,   4.636364E-01
216,   1.787879E-01,   4.878788E-01
217,   1.787879E-01,   5.121212E-01
218,   1.787879E-01,   5.363636E-01
219,   1.787879E-01,   5.606061E-01
220,   1.787879E-01,   5.848485E-01
221,   1.787879E-01,   6.090909E-01
222,   1.787879E-01,   6.333333E-01
223,   1.787879E-01,   6.575758E-01
224,   1.787879E-01,   6.818182E-01
225,   1.787879E-01,   7.060606E-01
226,   1.787879E-01,   7.303030E-01
227,   1.787879E-01,   7.545455E-01
228,   1.787879E-01,   7.787879E-01
229,   1.787879E-01,   8.030303E-01
230,   1.787879E-01,   8.272727E-01
231,   1.787879E-01,   8.515152E-01
232,   1.787879E-01,   8.757576E-01
233,   1.787879E-01,   9.000000E-01
234,   1.787879E-01,   9.242424E-01
235,   1.787879E-01,   9.484848E-01
236,   1.787879E-01,   9.727273E-01
237,   1.787879E-01,   9.969697E-01
238,   1.787879E-01,   1.021212E+00
239,   1.787879E-01,   1.045455E+00
240,   1.787879E-01,   1.069697E+00
241,   1.787879E-01,   1.093939E+00
242,   1.787879E-01,   1.118182E+00
243,   1.787879E-01,   1.142424E+00
244,   1.787879E-01,   1.166667E+00
245,   1.787879E-01,   1.190909E+00
246,   1.787879E-01,   1.215152E+00
247,   1.787879E-01,   1.239394E+00
248,   1.787879E-01,   1.263636E+00
249,   1.787879E-01,   1.287879E+00
250,   1.787879E-01,   1.312121E+00
251,   1.787879E-01,   1.336364E+00
252,   1.787879E-01,   1.360606E+00
253,   1.787879E-01,   1.384848E+00
254,   1.787879E-01,   1.409091E+00
255,   1.787879E-01,   1.433333E+00
256,   1.787879E-01,   1.457576E+00
257,   1.787879E-01,   1.481818E+00
258,   1.787879E-01,   1.506061E+00
259,   1.787879E-01,   1.530303E+00
260,   1.787879E-01,   1.554545E+00
261,   1.787879E-01,   1.578788E+00
262,   1.787879E-01,   1.603030E+00
263,   1.787879E-01,   1.627273E+00
264,   1.787879E-01,   1.651515E+00
265,   1.787879E-01,   1.675758E+00
266,   1.787879E-01,   1.700000E+00
267,   1.787879E-01,   1.724242E+00
268,   1.787879E-01,   1.748485E+00
269,   1.787879E-01,   1.772727E+00
270,   1.787879E-01,   1.796970E+00
271,   1.787879E-01,   1.821212E+00
272,   1.787879E-01,   1.845455E+00
273,   1.787879E-01,   1.869697E+00
274,   1.787879E-01,   1.893939E+00
275,   1.787879E-01,   1.918182E+00
276,   1.787879E-01,   1.942424E+00
277,   1.787879E-01,   1.966667E+00
278,   1.787879E-01,   1.990909E+00
279,   1.787879E-01,   2.015152E+00
280,   1.787879E-01,   2.039394E+00
281,   1.787879E-01,   2.063636E+00
282,   1.787879E-01,   2.087879E+00
283,   1.787879E-01,   2.112121E+00
284,   1.787879E-01,   2.136364E+00
285,   1.787879E-01,   2.160606E+00
286,   1.787879E-01,   2.184848E+00
287,   1.787879E-01,   2.209091E+00
288,   1.787879E-01,   2.233333E+00
289,   1.787879E-01,   2.257576E+00
290,   1.787879E-01,   2.281818E+00
291,   1.787879E-01,   2.306061E+00
292,   1.787879E-01,   2.330303E+00
293,   1.787879E-01,   2.354545E+00
294,   1.787879E-01,   2.378788E+00
295,   1.787879E-01,   2.403030E+00
296,   1.787879E-01,   2.427273E+00
297,   1.787879E-01,   2.451515E+00
298,   1.787879E-01,   2.475758E+00
299,   1.787879E-01,   2.500000E+00
300,   2.181818E-01,   1.000000E-01
301,   2.181818E-01,   1.242424E-01
302,   2.181818E-01,   1.484848E-01
303,   2.181818E-01,   1.727273E-01
304,   2.181818E-01,   1.969697E-01
305,   2.181818E-01,   2.212121E-01
306,   2.181818E-01,   2.454545E-01
307,   2.181818E-01,   2.696970E-01
308,   2.181818E-01,   2.939394E-01
309,   2.181818E-01,   3.181818E-01
310,   2.181818E-01,   3.424242E-01
311,   2.181818E-01,   3.666667E-01
312,   2.181818E-01,   3.909091E-01
313,   2.181818E-01,   4.151515E-01
314,   2.181818E-01,   4.393939E-01
315,   2.181818E-01,   4.636364E-01
316,   2.181818E-01,   4.878788E-01
317,   2.181818E-01,   5.121212E-01
318,   2.181818E-01,   5.363636E-01
319,   2.181818E-01,   5.606061E-01
320,   2.181818E-01,   5.848485E-01
321,   2.181818E-01,   6.090909E-01
322,   2.181818E-01,   6.333333E-01
323,   2.181818E-01,   6.575758E-01
324,   2.181818E-01,   6.818182E-01
325,   2.181818E-01,   7.060606E-01
326,   2.181818E-01,   7.303030E-01
327,   2.181818E-01,   7.545455E-01
328,   2.181818E-01,   7.787879E-01
329,   2.181818E-01,   8.030303E-01
330,   2.181818E-01,   8.272727E-01
331,   2.181818E-01,   8.515152E-01
332,   2.181818E-01,   8.757576E-01
333,   2.181818E-01,   9.000000E-01
334,   2.181818E-01,   9.242424E-01
335,   2.181818E-01,   9.484848E-01
336,   2.181818E-01,   9.727273E-01
337,   2.181818E-01,   9.969697E-01
338,   2.181818E-01,   1.021212E+00
339,   2.181818E-01,   1.045455E+00
340,   2.181818E-01,   1.069697E+00
341,   2.181818E-01,   1.093939E+00
342,   2.181818E-01,   1.118182E+00
343,   2.181818E-01,   1.142424E+00
344,   2.181818E-01,   1.166667E+00
345,   2.181818E-01,   1.190909E+00
346,   2.181818E-01,   1.215152E+00
347,   2.181818E-01,   1.239394E+00
348,   2.181818E-01,   1.263636E+00
349,   2.181818E-01,   1.287879E+00
350,   2.181818E-01,   1.312121E+00
351,   2.181818E-01,   1.336364E+00
352,   2.181818E-01,   1.360606E+00
353,   2.181818E-01,   1.384848E+00
354,   2.181818E-01,   1.409091E+00
355,   2.181818E-01,   1.433333E+00
356,   2.181818E-01,   1.457576E+00
357,   2.181818E-01,   1.481818E+00
358,   2.181818E-01,   1.506061E+00
359,   2.181818E-01,   1.530303E+00
360,   2.181818E-01,   1.554545E+00
361,   2.181818E-01,   1.578788E+00
362,   2.181818E-01,   1.603030E+00
363,   2.181818E-01,   1.627273E+00
364,   2.181818E-01,   1.651515E+00
365,   2.181818E-01,   1.675758E+00
366,   2.181818E-01,   1.700000E+00
367,   2.181818E-01,   1.724242E+00
368,   2.181818E-01,   1.748485E+00
369,   2.181818E-01,   1.772727E+00
370,   2.181818E-01,   1.796970E+00
371,   2.181818E-01,   1.821212E+00
372,   2.181818E-01,   1.845455E+00
373,   2.181818E-01,   1.869697E+00
374,   2.181818E-01,   1.893939E+00
375,   2.181818E-01,   1.918182E+00
376,   2.181818E-01,   1.942424E+00
377,   2.181818E-01,   1.966667E+00
378,   2.181818E-01,   1.990909E+00
379,   2.181818E-01,   2.015152E+00
380,   2.181818E-01,   2.039394E+00
381,   2.181818E-01,   2.063636E+00
382,   2.181818E-01,   2.087879E+00
383,   2.181818E-01,   2.112121E+00
384,   2.181818E-01,   2.136364E+00
385,   2.181818E-01,   2.160606E+00
386,   2.181818E-01,   2.184848E+00
387,   2.181818E-01,   2.209091E+00
388,   2.181818E-01,   2.233333E+00
389,   2.181818E-01,   2.257576E+00
390,   2.181818E-01,   2.281818E+00
391,   2.181818E-01,   2.306061E+00
392,   2.181818E-01,   2.330303E+00
393,   2.181818E-01,   2.354545E+00
394,   2.181818E-01,   2.378788E+00
395,   2.181818E-01,   2.403030E+00
396,   2.181818E-01,   2.427273E+00
397,   2.181818E-01,   2.451515E+00
398,   2.181818E-01,   2.475758E+00
399,   2.181818E-01,   2.500000E+00
400,   2.575758E-01,   1.000000E-01
401,   2.575758E-01,   1.242424E-01
