,hk,rch_0,rch_1
0,3.0,0.75,1.0
1,3.0,0.7628205128205128,1.0
2,3.0,0.7756410256410257,1.0
3,3.0,0.7884615384615384,1.0
4,3.0,0.8012820512820513,1.0
5,3.0,0.8141025641025641,1.0
6,3.0,0.8269230769230769,1.0
7,3.0,0.8397435897435898,1.0
8,3.0,0.8525641025641025,1.0
9,3.0,0.8653846153846154,1.0
10,3.0,0.8782051282051282,1.0
11,3.0,0.891025641025641,1.0
12,3.0,0.9038461538461539,1.0
13,3.0,0.9166666666666666,1.0
14,3.0,0.9294871794871795,1.0
15,3.0,0.9423076923076923,1.0
16,3.0,0.9551282051282051,1.0
17,3.0,0.967948717948718,1.0
18,3.0,0.9807692307692307,1.0
19,3.0,0.9935897435897436,1.0
20,3.0,1.0064102564102564,1.0
21,3.0,1.0192307692307692,1.0
22,3.0,1.032051282051282,1.0
23,3.0,1.044871794871795,1.0
24,3.0,1.0576923076923077,1.0
25,3.0,1.0705128205128205,1.0
26,3.0,1.0833333333333333,1.0
27,3.0,1.0961538461538463,1.0
28,3.0,1.108974358974359,1.0
29,3.0,1.1217948717948718,1.0
30,3.0,1.1346153846153846,1.0
31,3.0,1.1474358974358974,1.0
32,3.0,1.1602564102564101,1.0
33,3.0,1.1730769230769231,1.0
34,3.0,1.185897435897436,1.0
35,3.0,1.1987179487179487,1.0
36,3.0,1.2115384615384615,1.0
37,3.0,1.2243589743589745,1.0
38,3.0,1.2371794871794872,1.0
39,3.0,1.25,1.0
40,3.230769230769231,0.75,1.0
41,3.230769230769231,0.7628205128205128,1.0
42,3.230769230769231,0.7756410256410257,1.0
43,3.230769230769231,0.7884615384615384,1.0
44,3.230769230769231,0.8012820512820513,1.0
45,3.230769230769231,0.8141025641025641,1.0
46,3.230769230769231,0.8269230769230769,1.0
47,3.230769230769231,0.8397435897435898,1.0
48,3.230769230769231,0.8525641025641025,1.0
49,3.230769230769231,0.8653846153846154,1.0
50,3.230769230769231,0.8782051282051282,1.0
51,3.230769230769231,0.891025641025641,1.0
52,3.230769230769231,0.9038461538461539,1.0
53,3.230769230769231,0.9166666666666666,1.0
54,3.230769230769231,0.9294871794871795,1.0
55,3.230769230769231,0.9423076923076923,1.0
56,3.230769230769231,0.9551282051282051,1.0
57,3.230769230769231,0.967948717948718,1.0
58,3.230769230769231,0.9807692307692307,1.0
59,3.230769230769231,0.9935897435897436,1.0
60,3.230769230769231,1.0064102564102564,1.0
61,3.230769230769231,1.0192307692307692,1.0
62,3.230769230769231,1.032051282051282,1.0
63,3.230769230769231,1.044871794871795,1.0
64,3.230769230769231,1.0576923076923077,1.0
65,3.230769230769231,1.0705128205128205,1.0
66,3.230769230769231,1.0833333333333333,1.0
67,3.230769230769231,1.0961538461538463,1.0
68,3.230769230769231,1.108974358974359,1.0
69,3.230769230769231,1.1217948717948718,1.0
70,3.230769230769231,1.1346153846153846,1.0
71,3.230769230769231,1.1474358974358974,1.0
72,3.230769230769231,1.1602564102564101,1.0
73,3.230769230769231,1.1730769230769231,1.0
