run_id,hk1,cal_flux,fore_flux
132,   2.591837E-01,   1.667347E+00,1.0
133,   2.591837E-01,   1.716327E+00,1.0
134,   2.591837E-01,   1.765306E+00,1.0
135,   2.591837E-01,   1.814286E+00,1.0
136,   2.591837E-01,   1.863265E+00,1.0
137,   2.591837E-01,   1.912245E+00,1.0
138,   2.591837E-01,   1.961224E+00,1.0
139,   2.591837E-01,   2.010204E+00,1.0
140,   2.591837E-01,   2.059184E+00,1.0
141,   2.591837E-01,   2.108163E+00,1.0
142,   2.591837E-01,   2.157143E+00,1.0
143,   2.591837E-01,   2.206122E+00,1.0
144,   2.591837E-01,   2.255102E+00,1.0
145,   2.591837E-01,   2.304082E+00,1.0
146,   2.591837E-01,   2.353061E+00,1.0
147,   2.591837E-01,   2.402041E+00,1.0
148,   2.591837E-01,   2.451020E+00,1.0
149,   2.591837E-01,   2.500000E+00,1.0
150,   3.387755E-01,   1.000000E-01,1.0
151,   3.387755E-01,   1.489796E-01,1.0
152,   3.387755E-01,   1.979592E-01,1.0
153,   3.387755E-01,   2.469388E-01,1.0
154,   3.387755E-01,   2.959184E-01,1.0
155,   3.387755E-01,   3.448980E-01,1.0
156,   3.387755E-01,   3.938776E-01,1.0
157,   3.387755E-01,   4.428571E-01,1.0
158,   3.387755E-01,   4.918367E-01,1.0
159,   3.387755E-01,   5.408163E-01,1.0
160,   3.387755E-01,   5.897959E-01,1.0
161,   3.387755E-01,   6.387755E-01,1.0
162,   3.387755E-01,   6.877551E-01,1.0
163,   3.387755E-01,   7.367347E-01,1.0
164,   3.387755E-01,   7.857143E-01,1.0
165,   3.387755E-01,   8.346939E-01,1.0
166,   3.387755E-01,   8.836735E-01,1.0
167,   3.387755E-01,   9.326531E-01,1.0
168,   3.387755E-01,   9.816327E-01,1.0
169,   3.387755E-01,   1.030612E+00,1.0
170,   3.387755E-01,   1.079592E+00,1.0
171,   3.387755E-01,   1.128571E+00,1.0
172,   3.387755E-01,   1.177551E+00,1.0
173,   3.387755E-01,   1.226531E+00,1.0
174,   3.387755E-01,   1.275510E+00,1.0
175,   3.387755E-01,   1.324490E+00,1.0
176,   3.387755E-01,   1.373469E+00,1.0
177,   3.387755E-01,   1.422449E+00,1.0
178,   3.387755E-01,   1.471429E+00,1.0
179,   3.387755E-01,   1.520408E+00,1.0
180,   3.387755E-01,   1.569388E+00,1.0
181,   3.387755E-01,   1.618367E+00,1.0
182,   3.387755E-01,   1.667347E+00,1.0
183,   3.387755E-01,   1.716327E+00,1.0
184,   3.387755E-01,   1.765306E+00,1.0
185,   3.387755E-01,   1.814286E+00,1.0
186,   3.387755E-01,   1.863265E+00,1.0
187,   3.387755E-01,   1.912245E+00,1.0
188,   3.387755E-01,   1.961224E+00,1.0
189,   3.387755E-01,   2.010204E+00,1.0
190,   3.387755E-01,   2.059184E+00,1.0
191,   3.387755E-01,   2.108163E+00,1.0
192,   3.387755E-01,   2.157143E+00,1.0
193,   3.387755E-01,   2.206122E+00,1.0
194,   3.387755E-01,   2.255102E+00,1.0
195,   3.387755E-01,   2.304082E+00,1.0
196,   3.387755E-01,   2.353061E+00,1.0
197,   3.387755E-01,   2.402041E+00,1.0
198,   3.387755E-01,   2.451020E+00,1.0
199,   3.387755E-01,   2.500000E+00,1.0
200,   4.183673E-01,   1.000000E-01,1.0
201,   4.183673E-01,   1.489796E-01,1.0
202,   4.183673E-01,   1.979592E-01,1.0
203,   4.183673E-01,   2.469388E-01,1.0
204,   4.183673E-01,   2.959184E-01,1.0
205,   4.183673E-01,   3.448980E-01,1.0
206,   4.183673E-01,   3.938776E-01,1.0
207,   4.183673E-01,   4.428571E-01,1.0
208,   4.183673E-01,   4.918367E-01,1.0
209,   4.183673E-01,   5.408163E-01,1.0
210,   4.183673E-01,   5.897959E-01,1.0
211,   4.183673E-01,   6.387755E-01,1.0
212,   4.183673E-01,   6.877551E-01,1.0
213,   4.183673E-01,   7.367347E-01,1.0
214,   4.183673E-01,   7.857143E-01,1.0
215,   4.183673E-01,   8.346939E-01,1.0
216,   4.183673E-01,   8.836735E-01,1.0
217,   4.183673E-01,   9.326531E-01,1.0
218,   4.183673E-01,   9.816327E-01,1.0
219,   4.183673E-01,   1.030612E+00,1.0
220,   4.183673E-01,   1.079592E+00,1.0
221,   4.183673E-01,   1.128571E+00,1.0
222,   4.183673E-01,   1.177551E+00,1.0
223,   4.183673E-01,   1.226531E+00,1.0
224,   4.183673E-01,   1.275510E+00,1.0
225,   4.183673E-01,   1.324490E+00,1.0
226,   4.183673E-01,   1.373469E+00,1.0
227,   4.183673E-01,   1.422449E+00,1.0
228,   4.183673E-01,   1.471429E+00,1.0
229,   4.183673E-01,   1.520408E+00,1.0
230,   4.183673E-01,   1.569388E+00,1.0
231,   4.183673E-01,   1.618367E+00,1.0
232,   4.183673E-01,   1.667347E+00,1.0
233,   4.183673E-01,   1.716327E+00,1.0
234,   4.183673E-01,   1.765306E+00,1.0
235,   4.183673E-01,   1.814286E+00,1.0
236,   4.183673E-01,   1.863265E+00,1.0
237,   4.183673E-01,   1.912245E+00,1.0
238,   4.183673E-01,   1.961224E+00,1.0
239,   4.183673E-01,   2.010204E+00,1.0
240,   4.183673E-01,   2.059184E+00,1.0
241,   4.183673E-01,   2.108163E+00,1.0
242,   4.183673E-01,   2.157143E+00,1.0
243,   4.183673E-01,   2.206122E+00,1.0
244,   4.183673E-01,   2.255102E+00,1.0
245,   4.183673E-01,   2.304082E+00,1.0
246,   4.183673E-01,   2.353061E+00,1.0
247,   4.183673E-01,   2.402041E+00,1.0
248,   4.183673E-01,   2.451020E+00,1.0
249,   4.183673E-01,   2.500000E+00,1.0
250,   4.979592E-01,   1.000000E-01,1.0
251,   4.979592E-01,   1.489796E-01,1.0
252,   4.979592E-01,   1.979592E-01,1.0
253,   4.979592E-01,   2.469388E-01,1.0
254,   4.979592E-01,   2.959184E-01,1.0
255,   4.979592E-01,   3.448980E-01,1.0
256,   4.979592E-01,   3.938776E-01,1.0
257,   4.979592E-01,   4.428571E-01,1.0
258,   4.979592E-01,   4.918367E-01,1.0
259,   4.979592E-01,   5.408163E-01,1.0
260,   4.979592E-01,   5.897959E-01,1.0
261,   4.979592E-01,   6.387755E-01,1.0
262,   4.979592E-01,   6.877551E-01,1.0
263,   4.979592E-01,   7.367347E-01,1.0
264,   4.979592E-01,   7.857143E-01,1.0
265,   4.979592E-01,   8.346939E-01,1.0
266,   4.979592E-01,   8.836735E-01,1.0
267,   4.979592E-01,   9.326531E-01,1.0
268,   4.979592E-01,   9.816327E-01,1.0
269,   4.979592E-01,   1.030612E+00,1.0
270,   4.979592E-01,   1.079592E+00,1.0
271,   4.979592E-01,   1.128571E+00,1.0
272,   4.979592E-01,   1.177551E+00,1.0
273,   4.979592E-01,   1.226531E+00,1.0
274,   4.979592E-01,   1.275510E+00,1.0
275,   4.979592E-01,   1.324490E+00,1.0
276,   4.979592E-01,   1.373469E+00,1.0
277,   4.979592E-01,   1.422449E+00,1.0
