run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
31,8687.22596166369,8687.22596166369,0,8687.22596166369,1,17.184,33.367,49.551,65.735,81.918,98.102,114.286,130.469,146.653,1,11,21,31,41,51,61,71,81,91
32,9227.75343928496,9227.75343928496,0,9227.75343928496,1,17.673,34.347,51.02,67.694,84.367,101.041,117.714,134.388,151.061,1,11,21,31,41,51,61,71,81,91
33,9784.69355413561,9784.69355413561,0,9784.69355413561,1,18.163,35.327,52.49,69.653,86.816,103.98,121.143,138.306,155.469,1,11,21,31,41,51,61,71,81,91
34,10357.8456644782,10357.8456644782,0,10357.8456644782,1,18.653,36.306,53.959,71.612,89.265,106.918,124.571,142.224,159.878,1,11,21,31,41,51,61,71,81,91
35,10947.4162534363,10947.4162534363,0,10947.4162534363,1,19.143,37.286,55.429,73.571,91.714,109.857,128,146.143,164.286,1,11,21,31,41,51,61,71,81,91
36,11553.1929289035,11553.1929289035,0,11553.1929289035,1,19.633,38.265,56.898,75.531,94.163,112.796,131.429,150.061,168.694,1,11,21,31,41,51,61,71,81,91
37,12175.2804006902,12175.2804006902,0,12175.2804006902,1,20.122,39.245,58.367,77.49,96.612,115.735,134.857,153.98,173.102,1,11,21,31,41,51,61,71,81,91
38,12813.7951305948,12813.7951305948,0,12813.7951305948,1,20.612,40.224,59.837,79.449,99.061,118.673,138.286,157.898,177.51,1,11,21,31,41,51,61,71,81,91
39,13468.5071055737,13468.5071055737,0,13468.5071055737,1,21.102,41.204,61.306,81.408,101.51,121.612,141.714,161.816,181.918,1,11,21,31,41,51,61,71,81,91
40,14139.6522050651,14139.6522050651,0,14139.6522050651,1,21.592,42.184,62.776,83.367,103.959,124.551,145.143,165.735,186.327,1,11,21,31,41,51,61,71,81,91
