run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
32,2490.15287433587,2490.15287433587,0,2490.15287433587,1,9.758,18.515,27.273,36.03,44.788,53.545,62.303,71.061,79.818,1,11,21,31,41,51,61,71,81,91
33,2633.2206562163,2633.2206562163,0,2633.2206562163,1,10,19,28,37,46,55,64,73,82,1,11,21,31,41,51,61,71,81,91
34,2780.28383587252,2780.28383587252,0,2780.28383587252,1,10.242,19.485,28.727,37.97,47.212,56.455,65.697,74.939,84.182,1,11,21,31,41,51,61,71,81,91
35,2931.39807128962,2931.39807128962,0,2931.39807128962,1,10.485,19.97,29.455,38.939,48.424,57.909,67.394,76.879,86.364,1,11,21,31,41,51,61,71,81,91
36,3086.45335279586,3086.45335279586,0,3086.45335279586,1,10.727,20.455,30.182,39.909,49.636,59.364,69.091,78.818,88.545,1,11,21,31,41,51,61,71,81,91
37,3245.50389403441,3245.50389403441,0,3245.50389403441,1,10.97,20.939,30.909,40.879,50.848,60.818,70.788,80.758,90.727,1,11,21,31,41,51,61,71,81,91
38,3408.64977894058,3408.64977894058,0,3408.64977894058,1,11.212,21.424,31.636,41.848,52.061,62.273,72.485,82.697,92.909,1,11,21,31,41,51,61,71,81,91
39,3575.75468393051,3575.75468393051,0,3575.75468393051,1,11.455,21.909,32.364,42.818,53.273,63.727,74.182,84.636,95.091,1,11,21,31,41,51,61,71,81,91
40,3746.79467399163,3746.79467399163,0,3746.79467399163,1,11.697,22.394,33.091,43.788,54.485,65.182,75.879,86.576,97.273,1,11,21,31,41,51,61,71,81,91
41,3921.82979584946,3921.82979584946,0,3921.82979584946,1,11.939,22.879,33.818,44.758,55.697,66.636,77.576,88.515,99.454,1,11,21,31,41,51,61,71,81,91
42,4100.86002582855,4100.86002582855,0,4100.86002582855,1,12.182,23.364,34.545,45.727,56.909,68.091,79.273,90.455,101.636,1,11,21,31,41,51,61,71,81,91
43,4283.95268429922,4283.95268429922,0,4283.95268429922,1,12.424,23.848,35.273,46.697,58.121,69.545,80.97,92.394,103.818,1,11,21,31,41,51,61,71,81,91
44,4470.97451703611,4470.97451703611,0,4470.97451703611,1,12.667,24.333,36,47.667,59.333,71,82.667,94.333,106,1,11,21,31,41,51,61,71,81,91
45,4661.99139430271,4661.99139430271,0,4661.99139430271,1,12.909,24.818,36.727,48.636,60.545,72.455,84.364,96.273,108.182,1,11,21,31,41,51,61,71,81,91
46,4857.19452541216,4857.19452541216,0,4857.19452541216,1,13.152,25.303,37.455,49.606,61.758,73.909,86.061,98.212,110.364,1,11,21,31,41,51,61,71,81,91
47,5056.20532278451,5056.20532278451,0,5056.20532278451,1,13.394,25.788,38.182,50.576,62.97,75.364,87.758,100.152,112.545,1,11,21,31,41,51,61,71,81,91
48,5259.21111950059,5259.21111950059,0,5259.21111950059,1,13.636,26.273,38.909,51.545,64.182,76.818,89.455,102.091,114.727,1,11,21,31,41,51,61,71,81,91
49,5466.21190387893,5466.21190387893,0,5466.21190387893,1,13.879,26.758,39.636,52.515,65.394,78.273,91.152,104.03,116.909,1,11,21,31,41,51,61,71,81,91
50,5677.28518902682,5677.28518902682,0,5677.28518902682,1,14.121,27.242,40.364,53.485,66.606,79.727,92.848,105.97,119.091,1,11,21,31,41,51,61,71,81,91
51,5892.27736649487,5892.27736649487,0,5892.27736649487,1,14.364,27.727,41.091,54.455,67.818,81.182,94.545,107.909,121.273,1,11,21,31,41,51,61,71,81,91
