hkpp1     625.0000    9375.0000    1    50.795210000
hkpp2     1375.0000   9375.0000    1    34.207740000
hkpp3     2125.0000   9375.0000    1    41.082880000
hkpp4     2875.0000   9375.0000    1    17.843520000
hkpp5     3625.0000   9375.0000    1    7.1011790000
hkpp6     4375.0000   9375.0000    1    26.887830000
hkpp7     625.0000    8625.0000    1    32.081480000
hkpp8     1375.0000   8625.0000    1    7.6108100000
hkpp9     2125.0000   8625.0000    1    75.849280000
hkpp10    2875.0000   8625.0000    1    14.698050000
hkpp11    3625.0000   8625.0000    1    11.547650000
hkpp12    4375.0000   8625.0000    1    24.879730000
hkpp13    625.0000    7875.0000    1    37.711980000
hkpp14    2125.0000   7875.0000    1    579.84290000
hkpp15    2875.0000   7875.0000    1    1093.3660000
hkpp16    3625.0000   7875.0000    1    45.622380000
hkpp17    4375.0000   7875.0000    1    17.901280000
hkpp18    625.0000    7125.0000    1    35.615120000
hkpp19    2125.0000   7125.0000    1    75.192530000
hkpp20    2875.0000   7125.0000    1    63.573380000
hkpp21    3625.0000   7125.0000    1    49.587760000
hkpp22    4375.0000   7125.0000    1    7.4394280000
hkpp23    625.0000    6375.0000    1    23.354850000
hkpp24    2125.0000   6375.0000    1    74.208120000
hkpp25    2875.0000   6375.0000    1    160.22400000
hkpp26    3625.0000   6375.0000    1    146.60970000
hkpp27    4375.0000   6375.0000    1    2.9761320000
hkpp28    625.0000    5625.0000    1    20.275090000
hkpp29    2125.0000   5625.0000    1    103.96970000
hkpp30    2875.0000   5625.0000    1    395.61590000
hkpp31    3625.0000   5625.0000    1    489.55940000
hkpp32    4375.0000   5625.0000    1    386.47730000
hkpp33    625.0000    4875.0000    1    14.361260000
hkpp34    2125.0000   4875.0000    1    85.489470000
hkpp35    2875.0000   4875.0000    1    108.76100000
hkpp36    3625.0000   4875.0000    1    57.370940000
hkpp37    4375.0000   4875.0000    1    106.40890000
hkpp38    625.0000    4125.0000    1    19.287340000
hkpp39    1375.0000   4125.0000    1    31.684930000
hkpp40    2125.0000   4125.0000    1    78.450550000
hkpp41    2875.0000   4125.0000    1    14.317260000
hkpp42    3625.0000   4125.0000    1    43.747600000
hkpp43    4375.0000   4125.0000    1    251.21190000
hkpp44    625.0000    3375.0000    1    29.929060000
hkpp45    1375.0000   3375.0000    1    52.871580000
hkpp46    2125.0000   3375.0000    1    30.873540000
hkpp47    2875.0000   3375.0000    1    12.845870000
hkpp48    3625.0000   3375.0000    1    93.792180000
hkpp49    4375.0000   3375.0000    1    1951.4540000
hkpp50    625.0000    2625.0000    1    39.385090000
hkpp51    1375.0000   2625.0000    1    38.306210000
hkpp52    2125.0000   2625.0000    1    18.637730000
hkpp53    2875.0000   2625.0000    1    16.958320000
hkpp54    3625.0000   2625.0000    1    41.396930000
hkpp55    4375.0000   2625.0000    1    284.59570000
hkpp56    625.0000    1875.0000    1    43.748710000
hkpp57    1375.0000   1875.0000    1    38.167280000
hkpp58    2125.0000   1875.0000    1    28.535530000
hkpp59    2875.0000   1875.0000    1    24.929340000
hkpp60    3625.0000   1875.0000    1    25.444460000
hkpp61    4375.0000   1875.0000    1    38.700100000
hkpp62    1375.0000   1125.0000    1    50.502880000
hkpp63    2125.0000   1125.0000    1    48.229510000
hkpp64    2875.0000   1125.0000    1    49.669550000
hkpp65    3625.0000   1125.0000    1    41.333000000
hkpp66    4375.0000   1125.0000    1    40.678780000
hkpp67    1375.0000   375.0000     1    68.631560000
hkpp68    2125.0000   375.0000     1    61.513970000
hkpp69    2875.0000   375.0000     1    58.388140000
hkpp70    3625.0000   375.0000     1    46.550870000
