  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    254.0822         24       0.2371190E-02       -95.29325           0.1144451E-01
    254.0822         25       0.2444560E-02       -95.61926           0.1144194E-01
    254.0822         26       0.2516941E-02       -95.55796           0.1144241E-01
    254.0822         27       0.2587897E-02       -95.04072           0.1144646E-01
    254.0822         28       0.2656990E-02       -94.04626           0.1145418E-01
    254.0822         29       0.2723768E-02       -92.52023           0.1146616E-01
    254.0822         30       0.2787779E-02       -90.43997           0.1148235E-01
    254.0822         31       0.2848591E-02       -87.72271           0.1150531E-01
    254.0822         32       0.2905697E-02       -84.29388           0.1153418E-01
    254.0822         33       0.2958609E-02       -80.06320           0.1157110E-01
    254.0822         34       0.3006800E-02       -74.87081           0.1161869E-01
    254.0822         35       0.3049718E-02       -68.53194           0.1168026E-01
    254.0822         36       0.3086795E-02       -60.80329           0.1176083E-01
    254.0822         37       0.3117471E-02       -51.34241           0.1186851E-01
    254.0822         38       0.3141217E-02       -39.67520           0.1201462E-01
    254.0822         39       0.3158606E-02       -27.08470           0.1220729E-01
    254.0822         40       0.3685956E-02        0.000000           0.1000000E+31
    338.7762          1       0.3011300E-03       -119.3370           0.1305358E-01
    338.7762          2       0.5953931E-03       -119.5864           0.1305076E-01
    338.7762          3       0.8808285E-03       -119.1550           0.1305220E-01
    338.7762          4       0.1156299E-02       -118.2719           0.1305435E-01
    338.7762          5       0.1420517E-02       -116.8312           0.1305961E-01
    338.7762          6       0.1672418E-02       -114.8723           0.1306672E-01
    338.7762          7       0.1911215E-02       -112.4420           0.1307588E-01
    338.7762          8       0.2136564E-02       -109.6604           0.1308597E-01
    338.7762          9       0.2348527E-02       -106.6422           0.1309798E-01
    338.7762         10       0.2547764E-02       -103.6098           0.1310976E-01
    338.7762         11       0.2735596E-02       -100.8240           0.1312111E-01
    338.7762         12       0.2913405E-02       -98.36002           0.1313123E-01
    338.7762         13       0.3082784E-02       -96.34942           0.1313941E-01
    338.7762         14       0.3245034E-02       -94.72261           0.1314633E-01
    338.7762         15       0.3401362E-02       -93.48280           0.1315185E-01
    338.7762         16       0.3552899E-02       -92.63317           0.1315570E-01
    338.7762         17       0.3700623E-02       -92.14964           0.1315688E-01
    338.7762         18       0.3845421E-02       -91.99449           0.1315854E-01
    338.7762         19       0.3987995E-02       -92.12421           0.1315867E-01
    338.7762         20       0.4128937E-02       -92.49990           0.1315769E-01
    338.7762         21       0.4268739E-02       -93.08915           0.1315577E-01
    338.7762         22       0.4407879E-02       -93.89489           0.1315279E-01
    338.7762         23       0.4546309E-02       -94.69073           0.1314891E-01
    338.7762         24       0.4683623E-02       -95.29325           0.1314632E-01
    338.7762         25       0.4819246E-02       -95.61926           0.1314472E-01
    338.7762         26       0.4952410E-02       -95.55796           0.1314501E-01
    338.7762         27       0.5082248E-02       -95.04072           0.1314747E-01
    338.7762         28       0.5207899E-02       -94.04626           0.1315209E-01
    338.7762         29       0.5328464E-02       -92.52023           0.1315928E-01
    338.7762         30       0.5443063E-02       -90.43997           0.1316863E-01
    338.7762         31       0.5550782E-02       -87.72271           0.1318346E-01
    338.7762         32       0.5650635E-02       -84.29388           0.1320103E-01
    338.7762         33       0.5741615E-02       -80.06320           0.1322361E-01
    338.7762         34       0.5822632E-02       -74.87081           0.1325319E-01
    338.7762         35       0.5892499E-02       -68.53194           0.1329197E-01
    338.7762         36       0.5949945E-02       -60.80329           0.1334349E-01
    338.7762         37       0.5993638E-02       -51.34241           0.1341380E-01
    338.7762         38       0.6022175E-02       -39.67520           0.1351014E-01
    338.7762         39       0.6036380E-02       -27.08470           0.1364750E-01
    338.7762         40       0.4596886E-02        0.000000           0.1000000E+31
    423.4703          1       0.2061596E-03       -119.3370           0.1417268E-01
    423.4703          2       0.4088610E-03       -119.5864           0.1417064E-01
    423.4703          3       0.6065938E-03       -119.1550           0.1417139E-01
    423.4703          4       0.7984848E-03       -118.2719           0.1417226E-01
    423.4703          5       0.9835166E-03       -116.8312           0.1417509E-01
    423.4703          6       0.1160853E-02       -114.8723           0.1417888E-01
    423.4703          7       0.1329860E-02       -112.4420           0.1418391E-01
    423.4703          8       0.1490194E-02       -109.6604           0.1418881E-01
    423.4703          9       0.1641868E-02       -106.6422           0.1419548E-01
    423.4703         10       0.1785289E-02       -103.6098           0.1420172E-01
    423.4703         11       0.1921341E-02       -100.8240           0.1420780E-01
    423.4703         12       0.2050963E-02       -98.36002           0.1421318E-01
    423.4703         13       0.2175246E-02       -96.34942           0.1421747E-01
    423.4703         14       0.2295075E-02       -94.72261           0.1422117E-01
    423.4703         15       0.2411270E-02       -93.48280           0.1422416E-01
    423.4703         16       0.2524602E-02       -92.63317           0.1422626E-01
    423.4703         17       0.2635713E-02       -92.14964           0.1422591E-01
